credit_note_id,credit_note_ref,ebay_order,credit_amount,credit_date,source_invoice_id,source_invoice_ref,invoice_total,invoice_paid,invoice_paid_flag,invoice_unpaid_before_credit,cleanup_bucket,credit_note_private
6198,IC2606-0736,01-14554-68065,0.61000000,2026-06-24,1249,IN2604-1236,11.52000000,11.52000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 01-14554-68065. Source invoice: IN2604-1236 (id 1249).
6199,IC2606-0737,01-14558-50456,1.43000000,2026-06-24,1320,IN2604-1303,28.68000000,28.68000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 01-14558-50456. Source invoice: IN2604-1303 (id 1320).
6200,IC2606-0738,01-14560-63539,3.18000000,2026-06-24,1388,IN2604-1360,63.32000000,63.32000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 01-14560-63539. Source invoice: IN2604-1360 (id 1388).
6201,IC2606-0739,01-14563-82687,5.26000000,2026-06-24,1694,IN2604-1460,100.25000000,100.25000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 01-14563-82687. Source invoice: IN2604-1460 (id 1694).
6203,IC2606-0740,01-14571-29195,2.43000000,2026-06-24,1770,IN2604-1535,46.44000000,46.44000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 01-14571-29195. Source invoice: IN2604-1535 (id 1770).
6205,IC2606-0742,02-14506-80661,15.66000000,2026-06-24,651,IN2604-0641,16.11000000,16.11000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 02-14506-80661. Source invoice: IN2604-0641 (id 651).
6207,IC2606-0744,02-14547-85644,1.08000000,2026-06-24,1195,IN2604-1183,20.86000000,20.86000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 02-14547-85644. Source invoice: IN2604-1183 (id 1195).
6208,IC2606-0745,02-14548-54780,6.62000000,2026-06-24,1225,IN2604-1212,139.32000000,139.32000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 02-14548-54780. Source invoice: IN2604-1212 (id 1225).
6209,IC2606-0746,02-14552-38818,2.22000000,2026-06-24,1234,IN2604-1221,44.52000000,44.52000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 02-14552-38818. Source invoice: IN2604-1221 (id 1234).
6210,IC2606-0747,02-14561-30368,2.42000000,2026-06-24,1429,IN2604-1387,47.93000000,47.93000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 02-14561-30368. Source invoice: IN2604-1387 (id 1429).
6211,IC2606-0748,02-14565-58263,0.94000000,2026-06-24,1706,IN2604-1472,18.13000000,18.13000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 02-14565-58263. Source invoice: IN2604-1472 (id 1706).
6212,IC2606-0749,02-14566-04898,0.92000000,2026-06-24,1702,IN2604-1468,17.76000000,17.76000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 02-14566-04898. Source invoice: IN2604-1468 (id 1702).
6213,IC2606-0750,02-14571-17683,0.92000000,2026-06-24,1733,IN2604-1499,17.77000000,17.77000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 02-14571-17683. Source invoice: IN2604-1499 (id 1733).
6215,IC2606-0752,03-14545-96631,0.38000000,2026-06-24,1193,IN2604-1181,6.78000000,6.78000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 03-14545-96631. Source invoice: IN2604-1181 (id 1193).
6216,IC2606-0753,03-14547-46405,3.52000000,2026-06-24,1233,IN2604-1220,75.27000000,75.27000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 03-14547-46405. Source invoice: IN2604-1220 (id 1233).
6217,IC2606-0754,03-14551-33209,0.75000000,2026-06-24,1273,IN2604-1258,14.91000000,14.91000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 03-14551-33209. Source invoice: IN2604-1258 (id 1273).
6221,IC2606-0755,03-14555-09961,0.47000000,2026-06-24,1313,IN2604-1297,9.03000000,9.03000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 03-14555-09961. Source invoice: IN2604-1297 (id 1313).
6222,IC2606-0756,03-14556-31181,11.72000000,2026-06-24,1379,IN2604-1353,222.56000000,222.56000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 03-14556-31181. Source invoice: IN2604-1353 (id 1379).
6223,IC2606-0757,03-14557-14478,10.11000000,2026-06-24,1385,IN2604-1358,565.29000000,565.29000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 03-14557-14478. Source invoice: IN2604-1358 (id 1385).
6224,IC2606-0758,03-14558-45552,10.15000000,2026-06-24,1378,IN2604-1352,203.09000000,203.09000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 03-14558-45552. Source invoice: IN2604-1352 (id 1378).
6226,IC2606-0759,04-14543-69016,1.50000000,2026-06-24,1185,IN2604-1173,29.37000000,29.37000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 04-14543-69016. Source invoice: IN2604-1173 (id 1185).
6227,IC2606-0760,04-14543-89621,0.73000000,2026-06-24,1178,IN2604-1166,13.30000000,13.30000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 04-14543-89621. Source invoice: IN2604-1166 (id 1178).
6228,IC2606-0761,04-14549-20032,0.85000000,2026-06-24,1250,IN2604-1237,16.11000000,16.11000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 04-14549-20032. Source invoice: IN2604-1237 (id 1250).
6230,IC2606-0762,04-14556-93818,12.86000000,2026-06-24,1365,IN2604-1339,252.64000000,252.64000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 04-14556-93818. Source invoice: IN2604-1339 (id 1365).
6232,IC2606-0763,04-14558-07398,3.25000000,2026-06-24,1428,IN2604-1386,63.09000000,63.09000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 04-14558-07398. Source invoice: IN2604-1386 (id 1428).
6233,IC2606-0764,04-14558-24711,0.56000000,2026-06-24,1695,IN2604-1461,10.72000000,10.72000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 04-14558-24711. Source invoice: IN2604-1461 (id 1695).
6234,IC2606-0765,04-14558-85064,0.56000000,2026-06-24,1699,IN2604-1465,10.46000000,10.46000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 04-14558-85064. Source invoice: IN2604-1465 (id 1699).
6235,IC2606-0766,04-14566-27336,0.74000000,2026-06-24,1766,IN2604-1531,13.56000000,13.56000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 04-14566-27336. Source invoice: IN2604-1531 (id 1766).
6236,IC2606-0767,05-14545-68497,1.42000000,2026-06-24,1208,IN2604-1195,26.29000000,26.29000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 05-14545-68497. Source invoice: IN2604-1195 (id 1208).
6237,IC2606-0768,05-14547-17738,1.44000000,2026-06-24,1232,IN2604-1219,27.56000000,27.56000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 05-14547-17738. Source invoice: IN2604-1219 (id 1232).
6238,IC2606-0769,05-14553-68372,0.37000000,2026-06-24,1380,IN2604-1354,6.97000000,6.97000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 05-14553-68372. Source invoice: IN2604-1354 (id 1380).
6239,IC2606-0770,05-14551-19850,4.49000000,2026-06-24,1292,IN2604-1277,87.21000000,87.21000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 05-14551-19850. Source invoice: IN2604-1277 (id 1292).
6241,IC2606-0771,05-14556-28011,5.67000000,2026-06-24,1427,IN2604-1385,107.06000000,107.06000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 05-14556-28011. Source invoice: IN2604-1385 (id 1427).
6242,IC2606-0772,05-14562-21080,1.80000000,2026-06-24,1709,IN2604-1475,35.41000000,35.41000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 05-14562-21080. Source invoice: IN2604-1475 (id 1709).
6243,IC2606-0773,05-14566-75073,3.03000000,2026-06-24,1767,IN2604-1532,59.43000000,59.43000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 05-14566-75073. Source invoice: IN2604-1532 (id 1767).
6244,IC2606-0774,06-14540-50370,4.17000000,2026-06-24,1170,IN2604-1158,82.51000000,82.51000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 06-14540-50370. Source invoice: IN2604-1158 (id 1170).
6245,IC2606-0775,06-14542-51329,11.63000000,2026-06-24,1202,IN2604-1189,251.28000000,251.28000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 06-14542-51329. Source invoice: IN2604-1189 (id 1202).
6246,IC2606-0776,06-14546-37772,6.18000000,2026-06-24,1246,IN2604-1233,123.71000000,123.71000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 06-14546-37772. Source invoice: IN2604-1233 (id 1246).
6247,IC2606-0777,06-14546-42839,0.34000000,2026-06-24,1247,IN2604-1234,7.05000000,7.05000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 06-14546-42839. Source invoice: IN2604-1234 (id 1247).
6248,IC2606-0778,06-14564-69576,6.45000000,2026-06-24,1744,IN2604-1510,123.23000000,123.23000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 06-14564-69576. Source invoice: IN2604-1510 (id 1744).
6252,IC2606-0782,07-14549-76572,5.44000000,2026-06-24,1391,IN2604-1362,110.04000000,110.04000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 07-14549-76572. Source invoice: IN2604-1362 (id 1391).
6253,IC2606-0783,07-14548-60073,0.43000000,2026-06-24,1303,IN2604-1287,8.35000000,8.35000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 07-14548-60073. Source invoice: IN2604-1287 (id 1303).
6254,IC2606-0784,07-14472-53510,43.22000000,2026-06-24,271,IN2604-0246,53.99000000,43.29000000,1,10.7,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 07-14472-53510. Source invoice: IN2604-0246 (id 271).
6255,IC2606-0785,07-14550-56219,0.44000000,2026-06-24,1375,IN2604-1349,8.13000000,8.13000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 07-14550-56219. Source invoice: IN2604-1349 (id 1375).
6256,IC2606-0786,07-14558-09328,1.06000000,2026-06-24,1768,IN2604-1533,19.46000000,19.46000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 07-14558-09328. Source invoice: IN2604-1533 (id 1768).
6257,IC2606-0787,07-14560-27400,1.79000000,2026-06-24,1796,IN2604-1553,35.08000000,35.08000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 07-14560-27400. Source invoice: IN2604-1553 (id 1796).
6258,IC2606-0788,07-14562-00690,2.13000000,2026-06-24,1716,IN2604-1482,43.58000000,43.58000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 07-14562-00690. Source invoice: IN2604-1482 (id 1716).
6261,IC2606-0791,08-14544-27054,3.58000000,2026-06-24,1264,IN2604-1249,78.72000000,78.72000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 08-14544-27054. Source invoice: IN2604-1249 (id 1264).
6262,IC2606-0792,08-14544-32983,2.08000000,2026-06-24,1293,IN2604-1278,37.53000000,37.53000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 08-14544-32983. Source invoice: IN2604-1278 (id 1293).
6263,IC2606-0793,08-14546-94777,2.49000000,2026-06-24,1312,IN2604-1296,48.90000000,48.90000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 08-14546-94777. Source invoice: IN2604-1296 (id 1312).
6264,IC2606-0794,08-14560-81159,2.03000000,2026-06-24,1718,IN2604-1484,38.24000000,38.24000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 08-14560-81159. Source invoice: IN2604-1484 (id 1718).
6265,IC2606-0795,09-14542-15456,3.59000000,2026-06-24,1269,IN2604-1254,71.30000000,71.30000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 09-14542-15456. Source invoice: IN2604-1254 (id 1269).
6266,IC2606-0796,09-14545-36450,0.34000000,2026-06-24,1315,IN2604-1299,7.05000000,7.05000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 09-14545-36450. Source invoice: IN2604-1299 (id 1315).
6268,IC2606-0797,09-14548-03409,0.77000000,2026-06-24,1397,IN2604-1367,14.26000000,14.26000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 09-14548-03409. Source invoice: IN2604-1367 (id 1397).
6270,IC2606-0798,09-14557-84152,6.18000000,2026-06-24,1806,IN2604-1559,121.79000000,121.79000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 09-14557-84152. Source invoice: IN2604-1559 (id 1806).
6273,IC2606-0800,10-14540-85553,0.51000000,2026-06-24,1283,IN2604-1268,10.24000000,10.24000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 10-14540-85553. Source invoice: IN2604-1268 (id 1283).
6274,IC2606-0801,10-14543-58474,3.20000000,2026-06-24,1334,IN2604-1316,68.11000000,68.11000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 10-14543-58474. Source invoice: IN2604-1316 (id 1334).
6275,IC2606-0802,10-14543-99839,1.09000000,2026-06-24,1327,IN2604-1309,20.16000000,20.16000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 10-14543-99839. Source invoice: IN2604-1309 (id 1327).
6276,IC2606-0803,10-14544-96624,0.76000000,2026-06-24,1354,IN2604-1334,14.31000000,14.31000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 10-14544-96624. Source invoice: IN2604-1334 (id 1354).
6277,IC2606-0804,10-14550-41744,1.74000000,2026-06-24,1710,IN2604-1476,31.48000000,31.48000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 10-14550-41744. Source invoice: IN2604-1476 (id 1710).
6278,IC2606-0805,11-14537-83854,7.01000000,2026-06-24,1248,IN2604-1235,134.65000000,134.65000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 11-14537-83854. Source invoice: IN2604-1235 (id 1248).
6280,IC2606-0806,11-14542-38289,1.68000000,2026-06-24,1331,IN2604-1313,35.87000000,35.87000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 11-14542-38289. Source invoice: IN2604-1313 (id 1331).
6281,IC2606-0807,11-14548-55208,7.55000000,2026-06-24,1756,IN2604-1521,146.95000000,146.95000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 11-14548-55208. Source invoice: IN2604-1521 (id 1756).
6282,IC2606-0808,11-14549-21764,0.35000000,2026-06-24,1727,IN2604-1493,14.74000000,14.74000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 11-14549-21764. Source invoice: IN2604-1493 (id 1727).
6285,IC2606-0809,12-14535-66995,6.18000000,2026-06-24,1209,IN2604-1196,119.36000000,119.36000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 12-14535-66995. Source invoice: IN2604-1196 (id 1209).
6286,IC2606-0810,12-14538-16644,3.24000000,2026-06-24,1265,IN2604-1250,69.77000000,69.77000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 12-14538-16644. Source invoice: IN2604-1250 (id 1265).
6287,IC2606-0811,12-14542-10682,2.63000000,2026-06-24,1347,IN2604-1327,49.36000000,49.36000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 12-14542-10682. Source invoice: IN2604-1327 (id 1347).
6288,IC2606-0812,12-14543-44538,1.24000000,2026-06-24,1381,IN2604-1355,23.54000000,23.54000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 12-14543-44538. Source invoice: IN2604-1355 (id 1381).
6289,IC2606-0813,12-14546-57883,1.82000000,2026-06-24,1811,IN2604-1564,35.99000000,35.99000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 12-14546-57883. Source invoice: IN2604-1564 (id 1811).
6290,IC2606-0814,12-14547-73470,6.66000000,2026-06-24,1701,IN2604-1467,131.49000000,131.49000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 12-14547-73470. Source invoice: IN2604-1467 (id 1701).
6292,IC2606-0815,12-14553-18132,0.95000000,2026-06-24,1707,IN2604-1473,18.18000000,18.18000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 12-14553-18132. Source invoice: IN2604-1473 (id 1707).
6293,IC2606-0816,13-14526-44022,3.58000000,2026-06-24,1124,IN2604-1113,70.29000000,70.29000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 13-14526-44022. Source invoice: IN2604-1113 (id 1124).
6294,IC2606-0817,13-14532-02625,11.61000000,2026-06-24,1216,IN2604-1203,249.80000000,249.80000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 13-14532-02625. Source invoice: IN2604-1203 (id 1216).
6295,IC2606-0818,13-14537-14547,1.18000000,2026-06-24,1274,IN2604-1259,23.52000000,23.52000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 13-14537-14547. Source invoice: IN2604-1259 (id 1274).
6297,IC2606-0819,13-14549-16863,1.54000000,2026-06-24,1765,IN2604-1530,30.12000000,30.12000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 13-14549-16863. Source invoice: IN2604-1530 (id 1765).
6298,IC2606-0820,14-14528-95090,0.44000000,2026-06-24,1187,IN2604-1175,9.16000000,9.16000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 14-14528-95090. Source invoice: IN2604-1175 (id 1187).
6300,IC2606-0821,14-14530-76084,13.57000000,2026-06-24,1238,IN2604-1225,266.72000000,266.72000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 14-14530-76084. Source invoice: IN2604-1225 (id 1238).
6301,IC2606-0822,14-14533-26626,0.88000000,2026-06-24,1237,IN2604-1224,17.98000000,17.98000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 14-14533-26626. Source invoice: IN2604-1224 (id 1237).
6302,IC2606-0823,14-14534-63850,12.33000000,2026-06-24,1276,IN2604-1261,235.46000000,235.46000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 14-14534-63850. Source invoice: IN2604-1261 (id 1276).
6303,IC2606-0824,14-14536-41369,31.53000000,2026-06-24,1268,IN2604-1253,620.77000000,620.77000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 14-14536-41369. Source invoice: IN2604-1253 (id 1268).
6304,IC2606-0825,14-14539-25314,3.80000000,2026-06-24,1361,IN2604-1337,75.86000000,75.86000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 14-14539-25314. Source invoice: IN2604-1337 (id 1361).
6307,IC2606-0827,15-14526-64324,8.44000000,2026-06-24,1190,IN2604-1178,161.99000000,161.99000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 15-14526-64324. Source invoice: IN2604-1178 (id 1190).
6308,IC2606-0828,15-14532-10441,0.59000000,2026-06-24,1239,IN2604-1226,11.15000000,11.15000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 15-14532-10441. Source invoice: IN2604-1226 (id 1239).
6309,IC2606-0829,15-14537-26955,0.65000000,2026-06-24,1328,IN2604-1310,12.71000000,12.71000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 15-14537-26955. Source invoice: IN2604-1310 (id 1328).
6310,IC2606-0830,15-14538-38104,1.09000000,2026-06-24,1399,IN2604-1369,20.12000000,20.12000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 15-14538-38104. Source invoice: IN2604-1369 (id 1399).
6311,IC2606-0831,15-14538-84683,1.81000000,2026-06-24,1377,IN2604-1351,36.26000000,36.26000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 15-14538-84683. Source invoice: IN2604-1351 (id 1377).
6312,IC2606-0832,15-14548-57763,1.23000000,2026-06-24,1725,IN2604-1491,24.32000000,24.32000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 15-14548-57763. Source invoice: IN2604-1491 (id 1725).
6314,IC2606-0833,16-14539-28709,14.94000000,2026-06-24,1816,IN2604-1569,305.80000000,305.80000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 16-14539-28709. Source invoice: IN2604-1569 (id 1816).
6315,IC2606-0834,16-14544-36185,1.36000000,2026-06-24,1723,IN2604-1489,28.00000000,28.00000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 16-14544-36185. Source invoice: IN2604-1489 (id 1723).
6316,IC2606-0835,16-14547-24683,0.63000000,2026-06-24,1712,IN2604-1478,11.92000000,11.92000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 16-14547-24683. Source invoice: IN2604-1478 (id 1712).
6320,IC2606-0839,17-14529-44017,1.49000000,2026-06-24,1240,IN2604-1227,31.81000000,31.81000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 17-14529-44017. Source invoice: IN2604-1227 (id 1240).
6321,IC2606-0840,17-14530-56915,0.48000000,2026-06-24,1284,IN2604-1269,9.54000000,9.54000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 17-14530-56915. Source invoice: IN2604-1269 (id 1284).
6322,IC2606-0841,17-14533-97792,0.75000000,2026-06-24,1319,IN2604-1302,15.22000000,15.22000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 17-14533-97792. Source invoice: IN2604-1302 (id 1319).
6323,IC2606-0842,17-14535-01297,2.40000000,2026-06-24,1386,IN2604-1359,45.52000000,45.52000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 17-14535-01297. Source invoice: IN2604-1359 (id 1386).
6324,IC2606-0843,17-14535-24508,0.54000000,2026-06-24,1402,IN2604-1372,9.52000000,9.52000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 17-14535-24508. Source invoice: IN2604-1372 (id 1402).
